Year ; Rank ; Percent Used 
2020;#3;0.999
2019;#1;1.106
2018;#1;1.218
2017;#1;1.322
2016;#1;1.274
2015;#2;1.163
2014;#3;1.156
2013;#1;1.233
2012;#1;1.319
2011;#1;1.499
2010;#1;1.598
2009;#1;1.666
2008;#1;1.705
2007;#1;1.716
2006;#1;1.784
2005;#1;1.833
2004;#2;1.731
2003;#3;1.634
2002;#3;1.712
2001;#5;1.652
2000;#5;1.764
1999;#7;1.495
1998;#13;1.239
1997;#30;0.626
1996;#50;0.424
1995;#60;0.358
1994;#80;0.277
1993;#101;0.193
1992;#116;0.157
1991;#133;0.135
1990;#151;0.114
1989;#147;0.114
1988;#172;0.086
1987;#215;0.066
1986;#229;0.060
1985;#253;0.049
1984;#280;0.041
1983;#302;0.036
1982;#306;0.034
1981;#288;0.036
1980;#264;0.039
1979;#278;0.036
1978;#272;0.036
1977;#287;0.035
1976;#444;0.016
1975;#490;0.012
1974;#488;0.012
1973;#491;0.011
1972;-;-
1971;#463;0.012
1970;-;-
1969;-;-
1968;#450;0.010
1967;-;-
1966;#421;0.011
1965;#453;0.009
1964;#437;0.009
1963;#419;0.010
1962;#426;0.009
1961;#405;0.010
1960;#415;0.010
1959;#377;0.011
1958;#355;0.012
1957;#423;0.008
1956;#394;0.010
1955;#349;0.012
1954;#418;0.008
1953;#426;0.007
1952;#325;0.012
1951;#325;0.012
1950;#326;0.012
1949;#298;0.014
1948;#313;0.012
1947;#309;0.011
1946;#299;0.012
1945;#265;0.016
1944;#260;0.017
1943;#210;0.027
1942;#194;0.032
1941;#168;0.045
1940;#212;0.028
1939;#187;0.036
1938;#159;0.049
1937;#173;0.042
1936;#157;0.054
1935;#144;0.061
1934;#141;0.067
1933;#144;0.063
1932;#136;0.070
1931;#131;0.072
1930;#124;0.085
1929;#115;0.093
1928;#115;0.104
1927;#107;0.123
1926;#110;0.119
1925;#109;0.117
1924;#102;0.132
1923;#99;0.139
1922;#96;0.157
1921;#96;0.160
1920;#91;0.169
1919;#91;0.176
1918;#89;0.176
1917;#80;0.209
1916;#78;0.224
1915;#75;0.234
1914;#76;0.229
1913;#66;0.278
1912;#67;0.276
1911;#64;0.289
1910;#63;0.294
1909;#63;0.294
1908;#64;0.291
1907;#63;0.309
1906;#59;0.339
1905;#64;0.290
1904;#59;0.329
1903;#63;0.296
1902;#59;0.321
1901;#59;0.336
1900;#60;0.310
